,code,name,py,3,4,jz,day1,week1,month1,month3,month6,year1,year2,year3,year0,yearall,1,2,3
80,000218,国泰黄金ETF联接A,GTHJETFLJA,2019-08-30,1.3294,1.3294,-1.2406,3.1903,10.7926,22.8424,23.1154,31.8326,25.3678,23.0242,23.7227,32.94,2016-04-13,1,32.94
81,002547,民生加银养老服务混合,MSJYYLFWHH,2019-08-30,1.3940,1.3940,0.2878,3.1828,2.8782,9.1621,23.1449,21.2174,23.1449,,44.7560,39.40,2016-10-21,1,39.4
82,002424,博时文体娱乐主题混合,BSWTYLZTHH,2019-08-30,1.2050,1.2050,-0.0829,3.1678,5.9807,11.7811,11.2650,28.4648,18.4857,,41.2661,20.50,2017-05-25,1,20.5
83,005609,富国军工主题混合,FGJGZTHH,2019-08-30,1.0175,1.0175,0.8824,3.1424,6.2885,17.0617,13.8525,17.0751,,,36.0658,1.75,2018-03-29,1,1.75
84,003305,前海开源沪港深核心资源混合C,QHKYHGSHXZYHHC,2019-08-30,1.3310,1.3610,-1.2611,3.0984,8.0357,23.5189,14.8965,47.2111,29.9828,,37.1605,36.6119,2016-10-17,1,36.6119
85,000307,易方达黄金ETF联接A,YFDHJETFLJA,2019-08-30,1.2301,1.2301,-1.2523,3.0925,10.3922,21.6716,21.9490,29.8807,23.8397,21.3356,22.2885,23.01,2016-05-26,1,23.01
86,002963,易方达黄金ETF联接C,YFDHJETFLJC,2019-08-30,1.2206,1.2206,-1.2460,3.0912,10.3716,21.6343,21.8528,29.6855,23.3303,20.4580,22.2066,19.1527,2016-07-01,1,19.1527
87,003304,前海开源沪港深核心资源混合A,QHKYHGSHXZYHHA,2019-08-30,1.3360,1.3660,-1.2565,3.0864,8.0907,23.6391,15.03,47.5950,30.2144,,37.3906,37.1158,2016-10-17,1,37.1158
88,160127,南方新兴消费增长分级,NFXXXFZZFJ,2019-08-30,1.2360,2.5820,1.7284,3.0859,5.6410,15.5140,25.9175,28.1603,11.1063,48.4307,50.3493,158.1521,2012-03-13,1,130.6414
89,001195,工银农业产业股票,GYNYCYGP,2019-08-30,0.7360,0.7360,-0.5405,3.0812,-0.6748,3.3708,18.5185,31.1943,21.8543,20.8539,45.1677,-26.40,2015-05-26,1,-26.4
90,180020,银华成长先锋混合,YHCZXFHH,2019-08-30,1.1390,1.1640,0.0879,3.0769,4.2085,9.6246,18.3991,22.7370,7.9620,-3.8007,44.7268,16.6672,2010-10-08,1,9.6246
91,002610,博时黄金ETF联接A,BSHJETFLJA,2019-08-30,1.2348,1.2348,-1.2239,3.0460,10.5461,22.1848,22.6216,31.1385,25.5516,22.4514,23.2458,23.48,2016-05-27,1,23.48
92,001468,广发改革混合,GFGGHH,2019-08-30,0.6780,0.6780,0.2959,3.0395,6.9401,15.1104,16.6954,19.3662,-11.4883,-20.3290,37.8049,-32.20,2015-07-27,1,-32.2
93,002611,博时黄金ETF联接C,BSHJETFLJC,2019-08-30,1.2195,1.2195,-1.2311,3.0331,10.5020,22.0721,22.4029,30.6794,24.6678,21.1504,22.9583,21.95,2016-05-27,1,21.95
94,310308,申万菱信盛利精选混合,SWLXSLJXHH,2019-08-30,1.0505,3.1244,0.8448,3.0205,6.2291,14.9092,17.9409,27.9225,18.8886,36.7838,37.3741,492.8147,2004-04-09,1,59.1756
95,160222,国泰国证食品饮料行业指数分级,GTGZSPYLHYZSFJ,2019-08-30,1.1112,2.3380,1.8142,3.0129,5.8185,14.9121,37.5231,45.8927,66.7482,115.7623,66.6245,201.4083,2014-10-23,1,201.4083
96,160632,鹏华酒分级,PHJFJ,2019-08-30,1.1970,1.6960,1.6992,3.0121,7.8379,18.6323,44.5655,48.7166,59.7713,113.4057,80.5678,93.4789,2015-04-29,1,93.4789
97,519002,华安安信消费混合,HAAXXFHH,2019-08-30,1.7570,2.0640,0.2282,2.9895,5.2726,15.8207,28.2482,44.7282,22.3538,32.6484,55.9007,112.7681,2013-05-23,1,117.3321
98,090016,大成消费主题混合,DCXFZTHH,2019-08-30,0.9320,1.1890,-0.5336,2.9835,5.5492,12.5604,15.6328,18.1242,11.8847,1.1944,31.4528,16.55,2011-11-08,1,2.5955
99,110022,易方达消费行业股票,YFDXFHYGP,2019-08-30,2.9850,2.9850,1.8771,2.9665,6.3792,15.7874,36.1149,44.9733,53.5494,115.9913,67.3206,198.50,2010-08-20,1,203.0457
100,001691,南方香港成长(QDII),NFXGCZQDII,2019-08-29,1.0430,1.0430,0.7729,2.9615,1.9550,11.7899,9.2147,7.3045,4.1958,10.1373,27.1951,4.30,2015-09-30,1,
101,001223,鹏华文化传媒娱乐股票,PHWHCMYLGP,2019-08-30,1.0460,1.0460,-0.3810,2.9528,3.1558,6.6259,0.7707,11.6329,-1.0407,-6.1883,21.4866,4.60,2016-01-27,1,4.6
102,090018,大成新锐产业混合,DCXRCYHH,2019-08-30,1.8150,2.3150,-0.6568,2.9495,6.0163,13.5795,17.0968,19.4865,5.7076,6.2060,33.0645,150.1143,2012-03-20,1,89.4434
